Method,Version,RMSE,MAE,R2,Timestamp,NormRMSE,NormMAE,R2_shifted,NormR2,R2Loss,Composite
MOON,12,0.5730539673367613,0.5419543569644406,-8.027872000599107,2025-04-09 14:02:08,0.3240179422930647,0.3219492439828705,32.381488067025614,0.8185667104750305,0.1814332895249695,0.27580015860030155
MOON,13,0.6163326029707514,0.5874513630127675,-9.442984403351389,2025-04-09 14:02:20,0.3687341634248952,0.3683361905988828,30.966375664273336,0.7827942993345764,0.21720570066542355,0.3180920182297338
SCAFFOLD,1,0.777987649136979,0.6276280246031198,-15.639469967537483,2025-04-09 13:48:36,0.4165053892084634,0.32381488450197643,49.30968502817346,0.7642152922687258,0.23578470773127425,0.325368327147238
SCAFFOLD,2,1.5488436373388246,1.5386557720597498,-64.94915499571094,2025-04-09 13:48:42,1.0,1.0,0.0,0.0,1.0,1.0
SCAFFOLD,3,1.2241477443524866,1.1552891040305902,-40.196636228190535,2025-04-09 13:48:54,0.7542234780511755,0.7154567076325736,24.752518767520407,0.3836214600336584,0.6163785399663416,0.6953529085500302
SCAFFOLD,4,1.2798492820112122,1.2668816023866594,-44.03101557077711,2025-04-09 13:49:05,0.7963864080071115,0.7982831490886872,20.918139424933834,0.32419517636768647,0.6758048236323135,0.7568247935760374
SCAFFOLD,5,0.654999753702133,0.569509862655289,-10.79441369120049,2025-04-09 13:49:17,0.3234104722886057,0.28067828832371605,54.15474130451045,0.8393053297768492,0.16069467022315076,0.2549278102784908
SCAFFOLD,6,0.45733454838009885,0.40824253894176954,-4.749923998116844,2025-04-09 13:49:29,0.17378903350929234,0.16098208344333226,60.1992309975941,0.9329845219026142,0.06701547809738584,0.13392886501667015
SCAFFOLD,7,0.3912602189033038,0.3719956215305,-3.2084819654443626,2025-04-09 13:49:40,0.12377448377308525,0.13407881281890657,61.74067303026658,0.9568742217220522,0.043125778277947835,0.10032635828997988
SCAFFOLD,8,0.2636207818078476,0.23229942508320578,-0.9105278402732238,2025-04-09 13:49:52,0.02715861153552982,0.03039317975991453,64.03862715543772,0.9924885575748245,0.007511442425175541,0.021687744573539964
SCAFFOLD,9,0.36102928414056507,0.3375817936517125,-2.5832651336359835,2025-04-09 13:50:03,0.10089136710378888,0.10853610213428519,62.36588986207496,0.966564007077176,0.033435992922823954,0.080954487386966
SCAFFOLD,10,0.44166461167769816,0.4212706711908548,-4.362647973672538,2025-04-09 13:50:15,0.1619277730958866,0.17065185380341738,60.586507022038404,0.9389866340645612,0.061013365935438824,0.13119766427824758
SCAFFOLD,11,0.22946939891183676,0.19609094683368017,-0.4475835503236869,2025-04-09 13:50:26,0.0013079362136917128,0.0035184395387570957,64.50157144538726,0.9996633976827217,0.0003366023172782784,0.0017209926899090287
SCAFFOLD,12,0.22774148156030785,0.1913505348161879,-0.42586486134604695,2025-04-09 13:50:37,0.0,0.0,64.5232901343649,1.0,0.0,0.0
SCAFFOLD,13,0.37158777398393206,0.34372931964978787,-2.795918820311489,2025-04-09 13:50:49,0.10888354984089518,0.1130989330564395,62.15323617539945,0.9632682407541526,0.03673175924584737,0.08623808071439401
